game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014020611,13,away,WIN,REG,Gerard Gallant,4,8,15,14,1,0,47.9,12,10
2014020611,20,home,LOSS,REG,Bob Hartley,3,7,25,6,5,1,52.1,26,9
2014020997,1,away,LOSS,REG,Adam Oates,2,8,15,8,0,0,47.5,4,4
2014020997,30,home,WIN,REG,Mike Yeo,4,9,3,0,4,1,52.5,1,9
2014020304,12,away,WIN,REG,Bill Peters,3,6,6,8,0,0,50.7,2,8
2014020304,21,home,LOSS,REG,Patrick Roy,2,8,17,0,4,0,49.3,9,10
2014020973,2,away,TIE,SO,Jack Capuano,3,7,40,6,3,1,51.6,1,9
2014020973,13,home,TIE,SO,Gerard Gallant,3,4,42,10,1,0,48.4,8,16
2014020831,23,away,LOSS,REG,Willie Desjardins,2,7,8,11,1,0,49,14,12
2014020831,20,home,WIN,REG,Bob Hartley,3,8,18,9,2,0,51,21,11
2014020914,19,away,TIE,SO,Ken Hitchcock,1,7,21,8,2,0,47.7,9,5
2014020914,52,home,TIE,SO,Paul Maurice,1,7,35,8,2,0,52.3,14,7
2014021096,8,away,LOSS,OT,Michel Therrien,2,7,22,8,1,0,39.7,11,13
2014021096,18,home,WIN,OT,Peter Laviolette,3,7,23,2,4,1,60.3,10,8
2014020070,4,away,WIN,OT,Craig Berube,4,9,20,6,5,2,60.9,5,5
2014020070,25,home,LOSS,OT,Lindy Ruff,3,5,25,10,3,2,39.1,13,8
2014021147,23,away,TIE,SO,Willie Desjardins,2,6,22,39,3,1,44.9,3,7
2014021147,18,home,TIE,SO,Peter Laviolette,2,9,15,8,7,2,55.1,8,7
2014020873,2,away,TIE,SO,Jack Capuano,2,8,41,7,1,0,47.2,8,7
2014020873,15,home,TIE,SO,Barry Trotz,2,6,29,7,1,0,52.8,9,10
2014020142,4,away,WIN,REG,Craig Berube,3,6,22,14,2,0,50,6,8
